Dataset,Model,Accuracy,Precision (0),Recall (0),F1-Score (0),Precision (1),Recall (1),F1-Score (1)
Steam,Logistic Regression,0.8930835580477525,0.7856858355423093,0.5042531623253559,0.6142686868469939,0.9061344727157413,0.9720618277981591,0.9379410784037648
Steam,Naive Bayes,0.8597662970040062,0.8588665994247077,0.2026620829476839,0.32794157502103927,0.8598036252605802,0.9932356822238814,0.9217156234786669
Steam,SVM,0.8930701644730967,0.7930747766284281,0.49605535722156113,0.6103479878310005,0.904876157642353,0.9737108316816437,0.9380323839503245
Yelp,Logistic Regression,0.7943262411347518,0.8088235294117647,0.7746478873239436,0.7913669064748201,0.7808219178082192,0.8142857142857143,0.7972027972027972
Yelp,Naive Bayes,0.75177304964539,0.7903225806451613,0.6901408450704225,0.7368421052631579,0.7215189873417721,0.8142857142857143,0.7651006711409396
Yelp,SVM,0.7943262411347518,0.828125,0.7464788732394366,0.7851851851851852,0.7662337662337663,0.8428571428571429,0.8027210884353742
IMDb,Logistic Regression,0.8939,0.9015650741350906,0.8824833702882483,0.8919221758174595,0.8866640746500778,0.9051399087120461,0.8958067367180595
IMDb,Naive Bayes,0.8527,0.8493589743589743,0.8546663979036485,0.8520044207776549,0.8560303514376997,0.850764040484223,0.8533890713645864
IMDb,SVM,0.889,0.8954610803039639,0.878855069542431,0.8870803662258393,0.8828688364841162,0.8989878944234967,0.8908554572271387
Amazon,Logistic Regression,0.8972126201722211,0.8115100316789863,0.6854374442552501,0.7431648351648351,0.9164414099098614,0.9558887952822241,0.9357495519072806
Amazon,Naive Bayes,0.8356246316770897,0.8952658026976991,0.2744668774831752,0.4201315626163584,0.8313750247340501,0.9911036225779275,0.9042397286245735
Amazon,SVM,0.8988574293479695,0.8095350039964267,0.6980458931322469,0.7496680091433547,0.9194131267447144,0.9544959281100814,0.9366261222285296
